City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,jinka,5.65,36.65,61.05,93,100,4.16,ET,1698703632
286,red hill,33.9996,-79.2581,80.78,75,0,7.61,US,1698703405
287,trinity beach,-16.7888,145.6968,76.05,69,80,9.22,AU,1698703633
288,okhotsk,59.3833,143.3,18.99,87,100,3.94,RU,1698703474
289,yuzhno-kurilsk,44.0306,145.8556,46.38,76,17,8.63,RU,1698703505
290,talcahuano,-36.7167,-73.1167,50.79,64,99,16.26,CL,1698703635
291,sciacca,37.5082,13.0881,69.44,87,100,14.18,IT,1698703635
292,arzgir,45.3728,44.2206,54.36,59,1,8.46,RU,1698703636
293,holualoa,19.6228,-155.9522,80.87,71,20,9.22,US,1698703636
294,verkhnevilyuysk,63.4453,120.3167,4.08,98,92,2.37,RU,1698703637
295,san patricio,28.017,-97.5169,49.91,58,98,18.81,US,1698703464
296,persembe,41.0656,37.7714,62.02,84,97,5.7,TR,1698703638
297,asyut,27.181,31.1837,78.4,44,0,4.63,EG,1698703638
298,mokhsogollokh,61.4681,128.9203,-4.92,100,91,3.22,RU,1698703639
299,tolanaro,-25.0319,46.9987,73.27,91,100,3.58,MG,1698703614
300,mumbwa,-14.9783,27.0619,68.2,80,82,7.18,ZM,1698703640
301,gizo,-8.103,156.8419,82.2,75,100,3.49,SB,1698703641
302,mil'kovo,55.6078,37.7956,49.41,100,100,11.16,RU,1698703641
303,pacasmayo,-7.4006,-79.5714,69.64,78,86,15.5,PE,1698703642
304,yung shue wan,22.2333,114.1167,75.67,81,99,18.23,HK,1698703643
305,ploneour-lanvern,47.9,-4.2833,53.89,93,69,5.75,FR,1698703643
306,praia da vitoria,38.7333,-27.0667,65.75,90,70,12.19,PT,1698703644
307,severo-yeniseyskiy,60.3725,93.0408,-1.46,99,75,2.24,RU,1698703645
308,pustoshka,56.3355,29.369,46.53,93,98,6.89,RU,1698703645
309,gadzhiyevo,69.2551,33.3362,28.08,88,100,18.07,RU,1698703646
310,corn island,12.1694,-83.0418,81.79,76,99,9.84,NI,1698703647
311,griffith,41.5284,-87.4237,42.15,40,0,11.5,US,1698703648
312,chukhloma,58.7525,42.6825,27.09,85,95,10.0,RU,1698703649
313,muscatine,41.4667,-91.1335,39.38,37,0,9.22,US,1698703497
314,anqing,30.5092,117.0506,64.85,54,0,3.06,CN,1698703650
315,yanqul,23.5905,56.5501,75.0,47,54,2.37,OM,1698703650
316,hithadhoo,-0.6,73.0833,80.4,80,50,9.95,MV,1698703651
317,belle fourche,44.6714,-103.8522,41.5,39,51,22.3,US,1698703652
318,sao vicente,-23.9631,-46.3919,89.78,51,100,3.0,BR,1698703652
319,male,4.1748,73.5089,78.75,83,75,4.61,MV,1698703653
320,wasco,35.5941,-119.341,79.43,17,0,3.44,US,1698703654
321,kapa'a,22.0752,-159.319,84.52,70,40,10.36,US,1698703654
322,colonia,50.9333,6.95,55.96,91,75,6.91,DE,1698703560
323,tura,25.5198,90.2201,65.08,91,54,4.0,IN,1698703607
324,almenara,-16.1836,-40.6944,82.02,38,85,5.75,BR,1698703655
325,petropavlovsk-kamchatsky,53.0452,158.6483,32.59,82,0,11.01,RU,1698703656
326,sferracavallo,42.726,12.0956,70.63,97,100,17.4,IT,1698703657
327,howrah,22.5892,88.3103,77.0,83,18,3.44,IN,1698703657
328,yuci,37.6803,112.7319,44.35,61,0,4.47,CN,1698703658
329,keokuk,40.3973,-91.3849,39.65,55,20,10.36,US,1698703180
330,redding,40.5865,-122.3917,76.62,14,0,8.05,US,1698703387
331,socorro,31.6546,-106.3033,51.66,30,75,9.22,US,1698703662
332,shimoda,34.6667,138.95,60.1,74,72,4.16,JP,1698703509
333,amga,60.8953,131.9608,11.75,90,100,5.19,RU,1698703538
334,sungai penuh,-2.0833,101.3833,62.46,92,93,4.16,ID,1698703577
335,taupo,-38.6833,176.0833,57.51,96,100,6.35,NZ,1698703664
336,jodar,37.8406,-3.3526,53.73,61,73,1.77,ES,1698703664
337,ust'-ilimsk,58.0006,102.6619,14.43,94,72,4.0,RU,1698703665
338,kushiro,42.975,144.3747,49.15,93,40,2.3,JP,1698703459
339,jiangyou,31.7667,104.7167,64.18,81,100,0.6,CN,1698703666
340,pucon,-39.2822,-71.9543,42.94,96,99,1.99,CL,1698703667
341,santiago del torno,-17.9833,-63.3833,86.18,45,11,13.42,BO,1698703667
342,souillac,-20.5167,57.5167,75.36,84,13,9.64,MU,1698703668
343,cartagena,10.3997,-75.5144,83.82,84,20,4.61,CO,1698703668
344,maloye ganyushkino,46.6,49.2667,49.03,62,0,3.62,KZ,1698703669
345,saudarkrokur,65.7461,-19.6394,29.48,81,55,7.81,IS,1698703670
346,ta`u,-14.2336,-169.5144,80.82,81,12,24.94,AS,1698703533
347,big rapids,43.6981,-85.4837,35.67,52,75,10.36,US,1698703671
348,alice springs,-23.7,133.8833,72.95,17,60,8.05,AU,1698703500
349,shache,38.4167,77.2406,56.71,26,7,3.96,CN,1698703559
350,callaway,30.153,-85.5699,81.0,72,0,9.22,US,1698703599
351,sinabang,2.4803,96.3801,77.34,87,100,4.27,ID,1698703673
352,geraldton,-28.7667,114.6,61.21,48,0,12.66,AU,1698703674
353,houma,29.5958,-90.7195,70.0,68,40,14.97,US,1698703675
354,kudahuvadhoo,2.6708,72.8944,81.72,72,43,6.4,MV,1698703675
355,nieuw amsterdam,5.8833,-55.0833,84.02,81,40,0.0,SR,1698703676
356,la rinconada,37.4873,-5.9826,63.05,73,0,1.14,ES,1698703676
357,flying fish cove,-10.4217,105.6791,78.48,88,75,9.22,CX,1698703677
358,kuta,-8.7233,115.1723,78.75,100,20,1.14,ID,1698703677
359,atafu village,-8.5421,-172.5159,83.88,76,78,15.82,TK,1698703678
360,darnah,32.767,22.6367,71.8,80,18,12.68,LY,1698703678
361,tazacorte,28.629,-17.9293,74.37,94,40,1.99,ES,1698703669
